Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,May-Sep,Oct-Apr,Annual
2010,13.86322581,15.34107143,12.85883871,10.84053333,6.556419355,3.126866667,1.507774194,5.013677419,6.5266,8.976870968,13.5776,14.83677419,4.546267527,12.62924268,9.418854339
2011,14.91677419,15.42214286,12.49390323,8.180633333,8.408387097,4.782266667,2.319483871,3.538870968,6.425476667,9.27006129,10.72013333,13.77709677,5.094897054,11.59101255,9.187935856
2012,13.90096774,13.42034483,11.02948387,9.019,5.011806452,2.1156,2.595483871,4.577967742,6.853166667,7.976193548,9.900366667,14.4816129,4.230804946,12.4279069,8.406832857
2013,15.02387097,15.39282143,14.09451613,10.12596667,6.215741935,1.6829,5.458,6.461451613,6.724833333,9.07,12.02266667,13.90322581,5.308585376,12.13094668,9.681332879
2014,12.98645161,15.05964286,12.11180645,9.762833333,6.93383871,5.471433333,2.293612903,3.641225806,6.741666667,9.252516129,9.5055,14.06909677,5.016355484,12.43064641,8.985802048
2015,16.77290323,14.13785714,13.11645161,10.1602,6.227290323,3.846433333,2.678677419,4.423741935,5.8335,10.16167742,10.86356667,13.36209677,4.601928602,12.89018125,9.298699654
2016,14.68903226,17.38896552,13.86609677,9.899833333,8.182806452,4.7316,3.900677419,3.26983871,7.412733333,9.227612903,10.9457,12.89193548,5.499531183,11.90653353,9.700569349
2017,13.50709677,14.77571429,12.55774194,9.439933333,5.3909,5.055536667,2.553354839,6.122580645,7.124866667,10.24751613,12.2661,15.94870968,5.249447763,13.34423968,9.582504246
2018,18.26290323,14.20071429,13.56196774,8.921766667,6.321387097,3.157966667,4.328193548,5.045322581,7.128833333,9.454612903,10.659,14.10709677,5.196340645,12.68175673,9.595813735
2019,17.07064516,14.94071429,14.30516129,8.235066667,8.71,3.0557,5.654580645,4.582193548,6.3619,8.307193548,12.86946667,12.69483871,5.672874839,12.46384627,9.732288377
2020,15.80870968,16.02310345,11.68264516,9.860966667,6.618129032,4.196966667,4.055483871,6.145354839,6.73,10.08025806,11.46333333,13.19864516,5.549186882,12.5068826,9.65529966
2021,14.47532258,14.81428571,13.283,10.23333333,7.011290323,6.315,4.388709677,5.611290323,6.998333333,11.02741935,12.67166667,14.87833333,6.064924731,13.67925115,10.14233205
2022,16.76129032,14.9375,13.99354839,11.485,8.348387097,4.94,3.453225806,6.064516129,7.348333333,9.25483871,12.99,14.63064516,,,
